Timestamp,GSR_Value,PPG_Value
2024-12-18 19:01:33,52802,1932
2024-12-18 19:01:33,52810,1929
2024-12-18 19:01:33,52804,1931
2024-12-18 19:01:33,52790,1928
2024-12-18 19:01:34,52776,1926
2024-12-18 19:01:34,52769,1923
2024-12-18 19:01:34,52773,1922
2024-12-18 19:01:35,52788,1920
2024-12-18 19:01:35,52797,1918
2024-12-18 19:01:36,52801,1918
2024-12-18 19:01:36,52800,1915
2024-12-18 19:01:36,52795,1914
2024-12-18 19:01:37,52781,1912
2024-12-18 19:01:37,52770,1909
2024-12-18 19:01:37,52769,1906
2024-12-18 19:01:37,52783,1904
2024-12-18 19:01:37,52795,1901
2024-12-18 19:01:37,52801,1900
2024-12-18 19:01:37,52803,1896
2024-12-18 19:01:37,52800,1893
2024-12-18 19:01:37,52791,1890
2024-12-18 19:01:37,52777,1887
2024-12-18 19:01:37,52769,1885
2024-12-18 19:01:37,52775,1882
2024-12-18 19:01:37,52790,1879
2024-12-18 19:01:37,52799,1876
2024-12-18 19:01:37,52803,1873
2024-12-18 19:01:37,52810,1877
2024-12-18 19:01:37,52800,1872
2024-12-18 19:01:37,52784,1868
2024-12-18 19:01:37,52772,1868
2024-12-18 19:01:37,52769,1867
2024-12-18 19:01:37,52780,1864
2024-12-18 19:01:37,52792,1865
2024-12-18 19:01:37,52799,1865
2024-12-18 19:01:37,52800,1867
2024-12-18 19:01:37,52798,1866
2024-12-18 19:01:37,52789,1867
2024-12-18 19:01:37,52776,1868
2024-12-18 19:01:37,52768,1871
2024-12-18 19:01:37,52773,1871
2024-12-18 19:01:37,52788,1873
2024-12-18 19:01:37,52797,1874
2024-12-18 19:01:38,52801,1876
2024-12-18 19:01:38,52801,1878
2024-12-18 19:01:38,52797,1877
2024-12-18 19:01:38,52784,1880
2024-12-18 19:01:38,52772,1882
2024-12-18 19:01:38,52769,1882
2024-12-18 19:01:38,52781,1883
2024-12-18 19:01:38,52793,1884
2024-12-18 19:01:38,52800,1886
2024-12-18 19:01:38,52802,1887
2024-12-18 19:01:38,52804,1894
2024-12-18 19:01:38,52794,1891
2024-12-18 19:01:38,52778,1891
2024-12-18 19:01:38,52769,1892
2024-12-18 19:01:38,52772,1892
2024-12-18 19:01:38,52785,1893
2024-12-18 19:01:38,52795,1895
2024-12-18 19:01:39,52799,1895
2024-12-18 19:01:39,52800,1895
2024-12-18 19:01:39,52796,1897
2024-12-18 19:01:40,52783,1899
2024-12-18 19:01:40,52771,1900
2024-12-18 19:01:40,52768,1901
2024-12-18 19:01:40,52779,1901
2024-12-18 19:01:41,52792,1902
2024-12-18 19:01:41,52800,1903
2024-12-18 19:01:41,52802,1903
2024-12-18 19:01:42,52801,1904
2024-12-18 19:01:42,52792,1904
2024-12-18 19:01:43,52778,1904
2024-12-18 19:01:43,52770,1904
2024-12-18 19:01:43,52773,1904
2024-12-18 19:01:43,52787,1906
2024-12-18 19:01:44,52798,1907
2024-12-18 19:01:44,52802,1907
2024-12-18 19:01:44,52802,1907
2024-12-18 19:01:44,52801,1913
2024-12-18 19:01:44,52784,1911
2024-12-18 19:01:44,52774,1910
2024-12-18 19:01:44,52769,1910
2024-12-18 19:01:44,52778,1912
2024-12-18 19:01:44,52791,1912
2024-12-18 19:01:44,52798,1914
2024-12-18 19:01:44,52800,1915
2024-12-18 19:01:44,52799,1916
2024-12-18 19:01:44,52792,1919
2024-12-18 19:01:44,52778,1920
2024-12-18 19:01:44,52769,1922
2024-12-18 19:01:44,52771,1923
2024-12-18 19:01:44,52785,1925
2024-12-18 19:01:44,52795,1927
2024-12-18 19:01:44,52801,1929
2024-12-18 19:01:44,52801,1930
2024-12-18 19:01:44,52798,1931
2024-12-18 19:01:44,52786,1933
2024-12-18 19:01:44,52773,1933
2024-12-18 19:01:44,52768,1934
2024-12-18 19:01:44,52777,1935
2024-12-18 19:01:44,52791,1936
2024-12-18 19:01:44,52799,1937
2024-12-18 19:01:44,52802,1936
2024-12-18 19:01:44,52801,1937
2024-12-18 19:01:44,52797,1940
2024-12-18 19:01:44,52789,1940
2024-12-18 19:01:44,52770,1938
2024-12-18 19:01:44,52771,1937
2024-12-18 19:01:44,52784,1937
2024-12-18 19:01:44,52793,1935
2024-12-18 19:01:44,52798,1934
2024-12-18 19:01:44,52799,1932
2024-12-18 19:01:44,52796,1930
2024-12-18 19:01:44,52785,1930
2024-12-18 19:01:44,52772,1928
2024-12-18 19:01:44,52767,1926
2024-12-18 19:01:44,52775,1922
2024-12-18 19:01:44,52789,1919
2024-12-18 19:01:44,52798,1918
2024-12-18 19:01:44,52802,1916
2024-12-18 19:01:44,52800,1912
2024-12-18 19:01:44,52794,1909
2024-12-18 19:01:44,52780,1907
2024-12-18 19:01:44,52770,1903
2024-12-18 19:01:44,52770,1901
2024-12-18 19:01:44,52784,1898
2024-12-18 19:01:44,52795,1896
2024-12-18 19:01:44,52801,1894
2024-12-18 19:01:44,52802,1891
2024-12-18 19:01:44,52799,1890
2024-12-18 19:01:44,52801,1895
2024-12-18 19:01:44,52785,1888
2024-12-18 19:01:44,52769,1886
2024-12-18 19:01:44,52775,1884
2024-12-18 19:01:44,52789,1884
2024-12-18 19:01:44,52796,1883
2024-12-18 19:01:44,52799,1881
2024-12-18 19:01:44,52799,1882
2024-12-18 19:01:44,52793,1881
2024-12-18 19:01:44,52779,1880
2024-12-18 19:01:44,52769,1880
2024-12-18 19:01:44,52768,1880
2024-12-18 19:01:44,52782,1880
2024-12-18 19:01:44,52794,1881
2024-12-18 19:01:44,52800,1882
2024-12-18 19:01:44,52802,1885
2024-12-18 19:01:44,52799,1887
2024-12-18 19:01:44,52789,1887
2024-12-18 19:01:44,52775,1891
2024-12-18 19:01:44,52768,1893
2024-12-18 19:01:44,52774,1896
2024-12-18 19:01:44,52789,1900
2024-12-18 19:01:44,52798,1902
2024-12-18 19:01:44,52802,1906
2024-12-18 19:01:44,52801,1909
2024-12-18 19:01:44,52796,1911
2024-12-18 19:01:44,52784,1921
2024-12-18 19:01:44,52773,1920
2024-12-18 19:01:44,52769,1923
2024-12-18 19:01:44,52781,1926
2024-12-18 19:01:44,52794,1927
2024-12-18 19:01:44,52798,1930
2024-12-18 19:01:44,52800,1932
2024-12-18 19:01:44,52797,1935
2024-12-18 19:01:44,52788,1938
2024-12-18 19:01:44,52774,1941
2024-12-18 19:01:44,52766,1945
2024-12-18 19:01:44,52772,1948
2024-12-18 19:01:44,52787,1950
2024-12-18 19:01:44,52797,1954
2024-12-18 19:01:44,52801,1958
2024-12-18 19:01:44,52801,1961
2024-12-18 19:01:44,52796,1964
2024-12-18 19:01:44,52783,1966
2024-12-18 19:01:44,52771,1971
2024-12-18 19:01:44,52768,1975
2024-12-18 19:01:44,52781,1978
2024-12-18 19:01:44,52794,1982
2024-12-18 19:01:44,52801,1986
2024-12-18 19:01:44,52803,1989
2024-12-18 19:01:44,52800,1993
2024-12-18 19:01:44,52791,1995
2024-12-18 19:01:44,52776,2006
2024-12-18 19:01:44,52774,2005
2024-12-18 19:01:44,52774,2007
2024-12-18 19:01:44,52788,2010
2024-12-18 19:01:44,52798,2013
2024-12-18 19:01:44,52800,2016
2024-12-18 19:01:44,52799,2019
2024-12-18 19:01:44,52795,2021
2024-12-18 19:01:44,52782,2023
2024-12-18 19:01:44,52770,2025
2024-12-18 19:01:44,52767,2028
2024-12-18 19:01:44,52778,2030
2024-12-18 19:01:44,52792,2033
2024-12-18 19:01:44,52800,2036
2024-12-18 19:01:44,52802,2037
2024-12-18 19:01:44,52800,2040
2024-12-18 19:01:44,52791,2040
2024-12-18 19:01:44,52777,2041
2024-12-18 19:01:44,52768,2043
2024-12-18 19:01:44,52772,2044
2024-12-18 19:01:44,52787,2044
2024-12-18 19:01:44,52797,2045
2024-12-18 19:01:44,52802,2046
2024-12-18 19:01:44,52802,2046
2024-12-18 19:01:44,52798,2046
2024-12-18 19:01:44,52785,2045
2024-12-18 19:01:44,52767,2054
2024-12-18 19:01:44,52771,2049
2024-12-18 19:01:44,52779,2047
2024-12-18 19:01:44,52792,2047
2024-12-18 19:01:44,52799,2046
2024-12-18 19:01:44,52800,2045
2024-12-18 19:01:44,52798,2045
2024-12-18 19:01:44,52790,2043
2024-12-18 19:01:44,52776,2043
2024-12-18 19:01:44,52767,2042
2024-12-18 19:01:44,52769,2042
2024-12-18 19:01:44,52784,2042
2024-12-18 19:01:44,52795,2040
2024-12-18 19:01:44,52800,2040
2024-12-18 19:01:44,52801,2038
2024-12-18 19:01:44,52797,2036
2024-12-18 19:01:44,52785,2036
2024-12-18 19:01:44,52772,2034
2024-12-18 19:01:44,52767,2032
2024-12-18 19:01:44,52777,2030
2024-12-18 19:01:44,52791,2030
2024-12-18 19:01:44,52799,2028
2024-12-18 19:01:44,52802,2027
2024-12-18 19:01:44,52801,2025
2024-12-18 19:01:44,52793,2024
2024-12-18 19:01:44,52778,2024
2024-12-18 19:01:44,52778,2030
2024-12-18 19:01:44,52774,2023
2024-12-18 19:01:44,52785,2022
2024-12-18 19:01:44,52796,2020
2024-12-18 19:01:44,52800,2020
2024-12-18 19:01:44,52799,2020
2024-12-18 19:01:44,52795,2018
2024-12-18 19:01:44,52784,2017
2024-12-18 19:01:44,52770,2017
2024-12-18 19:01:44,52765,2017
2024-12-18 19:01:44,52774,2017
2024-12-18 19:01:44,52789,2016
2024-12-18 19:01:44,52797,2016
2024-12-18 19:01:44,52800,2017
2024-12-18 19:01:44,52799,2016
2024-12-18 19:01:44,52792,2017
2024-12-18 19:01:44,52778,2016
2024-12-18 19:01:44,52768,2018
2024-12-18 19:01:44,52769,2018
2024-12-18 19:01:44,52783,2017
2024-12-18 19:01:44,52794,2019
2024-12-18 19:01:44,52800,2018
2024-12-18 19:01:44,52801,2017
2024-12-18 19:01:44,52798,2018
2024-12-18 19:01:44,52787,2016
2024-12-18 19:01:44,52773,2016
