Timestamp,GSR_Value,PPG_Value
2024-12-18 15:02:31,35036,2010
2024-12-18 15:02:31,35039,2006
2024-12-18 15:02:31,35035,2003
2024-12-18 15:02:31,35034,2001
2024-12-18 15:02:31,35034,2000
2024-12-18 15:02:31,35033,1997
2024-12-18 15:02:31,35033,1994
2024-12-18 15:02:31,35033,1992
2024-12-18 15:02:31,35034,1991
2024-12-18 15:02:31,35034,1990
2024-12-18 15:02:31,35033,1987
2024-12-18 15:02:31,35033,1986
2024-12-18 15:02:31,35033,1985
2024-12-18 15:02:31,35034,1984
2024-12-18 15:02:31,35033,1984
2024-12-18 15:02:31,35034,1983
2024-12-18 15:02:31,35033,1983
2024-12-18 15:02:31,35034,1984
2024-12-18 15:02:31,35033,1984
2024-12-18 15:02:31,35034,1984
2024-12-18 15:02:31,35033,1982
2024-12-18 15:02:31,35034,1983
2024-12-18 15:02:31,35034,1983
2024-12-18 15:02:31,35034,1982
2024-12-18 15:02:31,35033,1983
2024-12-18 15:02:31,35034,1983
2024-12-18 15:02:31,35036,1984
2024-12-18 15:02:31,35035,1985
2024-12-18 15:02:31,35034,1984
2024-12-18 15:02:31,35034,1984
2024-12-18 15:02:31,35034,1984
2024-12-18 15:02:31,35033,1983
2024-12-18 15:02:31,35032,1983
2024-12-18 15:02:31,35033,1984
2024-12-18 15:02:31,35033,1983
2024-12-18 15:02:31,35033,1983
2024-12-18 15:02:31,35032,1982
2024-12-18 15:02:31,35033,1981
2024-12-18 15:02:31,35033,1982
2024-12-18 15:02:31,35033,1982
2024-12-18 15:02:31,35033,1982
2024-12-18 15:02:31,35033,1981
2024-12-18 15:02:31,35033,1980
2024-12-18 15:02:31,35033,1979
2024-12-18 15:02:31,35033,1978
2024-12-18 15:02:31,35033,1976
2024-12-18 15:02:31,35033,1974
2024-12-18 15:02:31,35033,1971
2024-12-18 15:02:31,35033,1968
2024-12-18 15:02:31,35033,1966
2024-12-18 15:02:31,35033,1965
2024-12-18 15:02:31,35033,1964
2024-12-18 15:02:31,35037,1964
2024-12-18 15:02:31,35034,1964
2024-12-18 15:02:31,35034,1962
2024-12-18 15:02:31,35033,1961
2024-12-18 15:02:31,35033,1959
2024-12-18 15:02:31,35032,1956
2024-12-18 15:02:31,35032,1954
2024-12-18 15:02:31,35032,1954
2024-12-18 15:02:31,35032,1953
2024-12-18 15:02:31,35032,1952
2024-12-18 15:02:31,35032,1951
2024-12-18 15:02:31,35032,1950
2024-12-18 15:02:31,35032,1950
2024-12-18 15:02:31,35032,1948
2024-12-18 15:02:31,35032,1946
2024-12-18 15:02:31,35032,1944
2024-12-18 15:02:31,35033,1944
2024-12-18 15:02:31,35033,1942
2024-12-18 15:02:31,35032,1942
2024-12-18 15:02:31,35032,1940
2024-12-18 15:02:31,35032,1939
2024-12-18 15:02:31,35032,1938
2024-12-18 15:02:31,35032,1937
2024-12-18 15:02:31,35032,1937
2024-12-18 15:02:31,35033,1937
2024-12-18 15:02:31,35033,1935
2024-12-18 15:02:31,35034,1936
2024-12-18 15:02:31,35034,1934
2024-12-18 15:02:31,35033,1932
2024-12-18 15:02:31,35032,1930
2024-12-18 15:02:32,35032,1929
2024-12-18 15:02:32,35031,1928
2024-12-18 15:02:32,35031,1927
2024-12-18 15:02:32,35031,1927
2024-12-18 15:02:32,35032,1926
2024-12-18 15:02:32,35031,1925
2024-12-18 15:02:32,35031,1925
2024-12-18 15:02:32,35031,1926
2024-12-18 15:02:32,35032,1925
2024-12-18 15:02:32,35032,1924
2024-12-18 15:02:32,35032,1923
