Timestamp,EMG_CH1,EMG_CH2
2024-12-19 09:32:59,3093,-4790837
2024-12-19 09:32:59,2583,-4794430
2024-12-19 09:32:59,2061,-4793919
2024-12-19 09:32:59,1674,-4794162
2024-12-19 09:32:59,1713,-4794216
2024-12-19 09:32:59,1983,-4793113
2024-12-19 09:32:59,1445,-4791915
2024-12-19 09:32:59,742,-4791669
2024-12-19 09:32:59,546,-4794436
2024-12-19 09:32:59,216,-4800317
2024-12-19 09:32:59,-471,-4800106
2024-12-19 09:32:59,-976,-4798973
2024-12-19 09:32:59,-1212,-4798290
2024-12-19 09:32:59,-1129,-4797230
2024-12-19 09:32:59,-1174,-4796673
2024-12-19 09:32:59,-1494,-4795366
2024-12-19 09:32:59,-1547,-4795858
2024-12-19 09:32:59,-1656,-4799107
2024-12-19 09:32:59,-1816,-4804559
2024-12-19 09:32:59,-2484,-4804511
2024-12-19 09:32:59,-2929,-4804703
2024-12-19 09:32:59,-2883,-4804866
2024-12-19 09:32:59,-2547,-4804558
2024-12-19 09:32:59,-2479,-4804248
2024-12-19 09:32:59,-2936,-4803668
2024-12-19 09:32:59,-2938,-4805879
2024-12-19 09:32:59,-2641,-4813042
2024-12-19 09:32:59,-3229,-4814269
2024-12-19 09:32:59,-3754,-4814233
2024-12-19 09:32:59,-3877,-4814657
2024-12-19 09:32:59,-3534,-4814694
2024-12-19 09:32:59,-2876,-4815839
2024-12-19 09:32:59,-3152,-4814882
2024-12-19 09:32:59,-3707,-4815327
2024-12-19 09:32:59,-3492,-4820216
2024-12-19 09:32:59,-4085,-4822781
2024-12-19 09:32:59,-4594,-4822704
2024-12-19 09:32:59,-4606,-4822852
2024-12-19 09:32:59,-4662,-4822786
2024-12-19 09:32:59,-4246,-4822598
2024-12-19 09:33:00,-3902,-4822462
2024-12-19 09:33:00,-4697,-4820523
2024-12-19 09:33:00,-4809,-4822635
2024-12-19 09:33:00,-4347,-4829277
2024-12-19 09:33:00,-5338,-4830618
2024-12-19 09:33:00,-6125,-4830694
2024-12-19 09:33:00,-6072,-4830610
2024-12-19 09:33:00,-5628,-4830857
2024-12-19 09:33:01,-5316,-4830921
2024-12-19 09:33:01,-5498,-4829549
2024-12-19 09:33:02,-5803,-4830407
2024-12-19 09:33:02,-5385,-4835062
2024-12-19 09:33:02,-5928,-4838674
2024-12-19 09:33:03,-6521,-4838398
2024-12-19 09:33:03,-7076,-4838422
2024-12-19 09:33:04,-6634,-4838947
2024-12-19 09:33:04,-6356,-4838778
2024-12-19 09:33:05,-6519,-4838744
2024-12-19 09:33:05,-6644,-4837306
2024-12-19 09:33:05,-6553,-4838903
2024-12-19 09:33:06,-6007,-4845030
2024-12-19 09:33:06,-6417,-4847936
2024-12-19 09:33:07,-7075,-4847442
2024-12-19 09:33:07,-7237,-4847155
2024-12-19 09:33:08,-6915,-4847252
2024-12-19 09:33:08,-6442,-4847231
2024-12-19 09:33:08,-6822,-4846277
2024-12-19 09:33:09,-6992,-4846879
2024-12-19 09:33:09,-6681,-4850622
2024-12-19 09:33:09,-6499,-4855483
2024-12-19 09:33:10,-6970,-4855059
2024-12-19 09:33:10,-6697,-4855466
2024-12-19 09:33:10,-6357,-4856336
2024-12-19 09:33:11,-6183,-4856259
2024-12-19 09:33:11,-7009,-4855451
2024-12-19 09:33:12,-7767,-4855111
2024-12-19 09:33:12,-8220,-4857858
2024-12-19 09:33:13,-8596,-4864481
2024-12-19 09:33:13,-8896,-4865603
2024-12-19 09:33:13,-9179,-4865960
2024-12-19 09:33:14,-9514,-4866611
2024-12-19 09:33:14,-9318,-4867201
2024-12-19 09:33:15,-9334,-4867541
2024-12-19 09:33:15,-9631,-4866737
2024-12-19 09:33:15,-9804,-4867689
2024-12-19 09:33:16,-9649,-4871084
2024-12-19 09:33:16,-9882,-4876638
2024-12-19 09:33:17,-10742,-4876684
2024-12-19 09:33:17,-10982,-4876352
2024-12-19 09:33:17,-11022,-4876463
2024-12-19 09:33:18,-10895,-4875367
2024-12-19 09:33:18,-10741,-4874834
2024-12-19 09:33:19,-11164,-4873575
2024-12-19 09:33:19,-11787,-4875464
2024-12-19 09:33:19,-11368,-4881445
2024-12-19 09:33:20,-12047,-4882434
2024-12-19 09:33:20,-12804,-4881706
2024-12-19 09:33:21,-13019,-4881676
2024-12-19 09:33:21,-12890,-4881769
2024-12-19 09:33:22,-12521,-4881116
2024-12-19 09:33:22,-12761,-4880124
2024-12-19 09:33:22,-13161,-4879340
2024-12-19 09:33:23,-13336,-4881892
2024-12-19 09:33:23,-13241,-4887601
