Timestamp,GSR_Value,PPG_Value
2024-12-18 19:08:38,34469,1858
2024-12-18 19:08:38,34465,1858
2024-12-18 19:08:38,34464,1858
2024-12-18 19:08:38,34467,1856
2024-12-18 19:08:38,34473,1855
2024-12-18 19:08:38,34475,1856
2024-12-18 19:08:38,34476,1853
2024-12-18 19:08:38,34475,1855
2024-12-18 19:08:39,34474,1854
2024-12-18 19:08:39,34470,1852
2024-12-18 19:08:39,34466,1854
2024-12-18 19:08:39,34466,1854
2024-12-18 19:08:39,34471,1852
2024-12-18 19:08:39,34475,1852
2024-12-18 19:08:39,34476,1854
2024-12-18 19:08:39,34477,1854
2024-12-18 19:08:39,34474,1856
2024-12-18 19:08:40,34472,1858
2024-12-18 19:08:40,34488,1869
2024-12-18 19:08:40,34467,1866
2024-12-18 19:08:41,34466,1866
2024-12-18 19:08:41,34471,1869
2024-12-18 19:08:41,34474,1874
2024-12-18 19:08:41,34472,1877
2024-12-18 19:08:42,34472,1881
2024-12-18 19:08:42,34471,1884
2024-12-18 19:08:42,34467,1888
2024-12-18 19:08:43,34464,1893
2024-12-18 19:08:43,34464,1896
2024-12-18 19:08:43,34469,1899
2024-12-18 19:08:43,34474,1903
2024-12-18 19:08:43,34475,1908
2024-12-18 19:08:43,34475,1911
2024-12-18 19:08:43,34474,1915
2024-12-18 19:08:43,34472,1919
2024-12-18 19:08:43,34467,1922
2024-12-18 19:08:43,34465,1926
2024-12-18 19:08:43,34468,1929
2024-12-18 19:08:43,34473,1934
2024-12-18 19:08:43,34476,1938
2024-12-18 19:08:43,34476,1943
2024-12-18 19:08:43,34475,1946
2024-12-18 19:08:43,34473,1950
2024-12-18 19:08:43,34470,1953
2024-12-18 19:08:43,34485,1969
2024-12-18 19:08:43,34467,1965
2024-12-18 19:08:43,34478,1978
2024-12-18 19:08:43,34473,1972
2024-12-18 19:08:43,34471,1974
2024-12-18 19:08:43,34469,1977
2024-12-18 19:08:43,34468,1980
2024-12-18 19:08:43,34466,1985
2024-12-18 19:08:43,34463,1988
2024-12-18 19:08:43,34461,1990
2024-12-18 19:08:43,34463,1994
2024-12-18 19:08:43,34470,1996
2024-12-18 19:08:43,34473,1998
2024-12-18 19:08:43,34474,2000
2024-12-18 19:08:43,34473,2001
2024-12-18 19:08:43,34472,2002
2024-12-18 19:08:43,34469,2004
2024-12-18 19:08:43,34465,2004
2024-12-18 19:08:43,34465,2005
2024-12-18 19:08:43,34469,2005
2024-12-18 19:08:43,34475,2005
2024-12-18 19:08:43,34475,2006
2024-12-18 19:08:43,34475,2006
2024-12-18 19:08:43,34474,2004
2024-12-18 19:08:43,34472,2004
2024-12-18 19:08:43,34468,2004
2024-12-18 19:08:43,34495,2013
2024-12-18 19:08:43,34493,2037
2024-12-18 19:08:43,34470,2004
2024-12-18 19:08:43,34468,1999
2024-12-18 19:08:43,34468,1998
2024-12-18 19:08:43,34467,1997
2024-12-18 19:08:43,34466,1996
2024-12-18 19:08:43,34463,1994
2024-12-18 19:08:43,34460,1992
2024-12-18 19:08:43,34461,1992
2024-12-18 19:08:43,34464,1989
2024-12-18 19:08:43,34470,1988
2024-12-18 19:08:43,34472,1985
2024-12-18 19:08:43,34473,1984
2024-12-18 19:08:43,34472,1981
2024-12-18 19:08:44,34470,1977
2024-12-18 19:08:44,34466,1975
2024-12-18 19:08:44,34464,1972
2024-12-18 19:08:45,34465,1968
2024-12-18 19:08:45,34471,1964
2024-12-18 19:08:45,34474,1961
2024-12-18 19:08:45,34475,1957
2024-12-18 19:08:46,34474,1955
2024-12-18 19:08:46,34473,1951
2024-12-18 19:08:46,34469,1947
2024-12-18 19:08:47,34466,1944
2024-12-18 19:08:47,34479,1948
2024-12-18 19:08:47,34494,1973
2024-12-18 19:08:48,34467,1936
2024-12-18 19:08:48,34467,1934
2024-12-18 19:08:48,34466,1931
2024-12-18 19:08:49,34464,1927
2024-12-18 19:08:49,34463,1924
2024-12-18 19:08:49,34459,1922
2024-12-18 19:08:49,34457,1922
2024-12-18 19:08:50,34459,1919
2024-12-18 19:08:50,34465,1916
2024-12-18 19:08:50,34469,1915
2024-12-18 19:08:50,34471,1913
2024-12-18 19:08:50,34471,1910
2024-12-18 19:08:50,34470,1909
2024-12-18 19:08:50,34468,1907
2024-12-18 19:08:50,34463,1905
2024-12-18 19:08:50,34463,1903
2024-12-18 19:08:50,34466,1902
2024-12-18 19:08:50,34472,1902
2024-12-18 19:08:50,34474,1900
2024-12-18 19:08:50,34474,1898
2024-12-18 19:08:50,34473,1900
2024-12-18 19:08:50,34471,1899
2024-12-18 19:08:50,34467,1898
2024-12-18 19:08:50,34464,1899
2024-12-18 19:08:50,34473,1934
2024-12-18 19:08:50,34470,1897
2024-12-18 19:08:50,34470,1897
2024-12-18 19:08:50,34471,1897
2024-12-18 19:08:50,34480,1908
2024-12-18 19:08:50,34467,1895
2024-12-18 19:08:50,34464,1896
2024-12-18 19:08:50,34460,1894
2024-12-18 19:08:50,34459,1893
2024-12-18 19:08:50,34462,1892
2024-12-18 19:08:50,34468,1891
2024-12-18 19:08:50,34471,1891
2024-12-18 19:08:50,34472,1890
2024-12-18 19:08:50,34471,1888
2024-12-18 19:08:50,34469,1889
2024-12-18 19:08:50,34466,1888
2024-12-18 19:08:50,34463,1886
2024-12-18 19:08:50,34463,1886
2024-12-18 19:08:50,34468,1885
2024-12-18 19:08:50,34473,1885
2024-12-18 19:08:50,34473,1884
2024-12-18 19:08:50,34473,1884
2024-12-18 19:08:50,34471,1882
2024-12-18 19:08:50,34468,1882
2024-12-18 19:08:50,34464,1881
2024-12-18 19:08:50,34463,1881
2024-12-18 19:08:50,34475,1894
2024-12-18 19:08:50,34471,1882
2024-12-18 19:08:50,34472,1881
2024-12-18 19:08:50,34470,1881
2024-12-18 19:08:50,34469,1882
2024-12-18 19:08:50,34466,1879
2024-12-18 19:08:50,34462,1878
2024-12-18 19:08:50,34459,1877
2024-12-18 19:08:50,34460,1876
2024-12-18 19:08:50,34464,1877
2024-12-18 19:08:50,34470,1876
2024-12-18 19:08:50,34472,1877
2024-12-18 19:08:50,34471,1875
2024-12-18 19:08:50,34470,1875
2024-12-18 19:08:50,34468,1875
2024-12-18 19:08:50,34463,1874
2024-12-18 19:08:50,34461,1874
2024-12-18 19:08:50,34464,1874
2024-12-18 19:08:50,34469,1873
2024-12-18 19:08:50,34472,1873
2024-12-18 19:08:50,34472,1873
2024-12-18 19:08:50,34471,1874
2024-12-18 19:08:50,34469,1874
2024-12-18 19:08:50,34466,1877
2024-12-18 19:08:50,34462,1877
2024-12-18 19:08:50,34462,1878
2024-12-18 19:08:50,34475,1893
2024-12-18 19:08:50,34485,1893
2024-12-18 19:08:50,34470,1881
2024-12-18 19:08:50,34468,1883
2024-12-18 19:08:50,34466,1884
2024-12-18 19:08:50,34464,1884
2024-12-18 19:08:50,34459,1883
2024-12-18 19:08:50,34458,1886
2024-12-18 19:08:50,34460,1887
2024-12-18 19:08:50,34466,1886
2024-12-18 19:08:50,34469,1888
2024-12-18 19:08:50,34470,1889
2024-12-18 19:08:50,34469,1889
2024-12-18 19:08:50,34468,1891
2024-12-18 19:08:50,34464,1892
2024-12-18 19:08:50,34461,1893
2024-12-18 19:08:50,34460,1893
2024-12-18 19:08:50,34465,1895
2024-12-18 19:08:50,34469,1896
2024-12-18 19:08:50,34471,1896
2024-12-18 19:08:50,34471,1897
2024-12-18 19:08:50,34469,1897
2024-12-18 19:08:50,34468,1899
2024-12-18 19:08:50,34463,1899
2024-12-18 19:08:50,34462,1901
2024-12-18 19:08:50,34463,1901
2024-12-18 19:08:50,34500,1946
2024-12-18 19:08:50,34471,1918
2024-12-18 19:08:50,34467,1902
2024-12-18 19:08:50,34465,1902
2024-12-18 19:08:50,34463,1900
2024-12-18 19:08:50,34459,1900
2024-12-18 19:08:50,34456,1900
2024-12-18 19:08:50,34456,1899
2024-12-18 19:08:50,34460,1897
2024-12-18 19:08:51,34466,1896
2024-12-18 19:08:51,34468,1894
2024-12-18 19:08:51,34468,1893
2024-12-18 19:08:51,34467,1892
2024-12-18 19:08:51,34465,1890
2024-12-18 19:08:51,34461,1889
2024-12-18 19:08:51,34458,1885
2024-12-18 19:08:51,34460,1883
2024-12-18 19:08:51,34466,1881
2024-12-18 19:08:51,34469,1878
2024-12-18 19:08:51,34470,1878
2024-12-18 19:08:51,34469,1875
2024-12-18 19:08:51,34467,1872
2024-12-18 19:08:51,34464,1871
2024-12-18 19:08:51,34460,1870
2024-12-18 19:08:51,34459,1867
2024-12-18 19:08:51,34462,1866
2024-12-18 19:08:51,34469,1865
2024-12-18 19:08:51,34469,1864
2024-12-18 19:08:51,34469,1863
2024-12-18 19:08:51,34468,1860
2024-12-18 19:08:51,34466,1859
2024-12-18 19:08:51,34461,1859
2024-12-18 19:08:51,34459,1856
2024-12-18 19:08:51,34460,1855
2024-12-18 19:08:51,34465,1855
2024-12-18 19:08:51,34468,1855
2024-12-18 19:08:51,34469,1855
2024-12-18 19:08:51,34468,1854
2024-12-18 19:08:51,34467,1854
2024-12-18 19:08:51,34464,1855
2024-12-18 19:08:51,34460,1854
2024-12-18 19:08:51,34459,1856
2024-12-18 19:08:51,34461,1856
2024-12-18 19:08:51,34467,1856
2024-12-18 19:08:51,34469,1858
2024-12-18 19:08:51,34469,1859
2024-12-18 19:08:51,34468,1861
2024-12-18 19:08:51,34467,1862
2024-12-18 19:08:51,34461,1863
2024-12-18 19:08:51,34458,1865
2024-12-18 19:08:51,34459,1866
2024-12-18 19:08:51,34464,1867
2024-12-18 19:08:51,34477,1880
2024-12-18 19:08:51,34468,1871
2024-12-18 19:08:51,34465,1870
2024-12-18 19:08:51,34466,1873
2024-12-18 19:08:51,34459,1870
2024-12-18 19:08:51,34454,1868
2024-12-18 19:08:51,34453,1868
2024-12-18 19:08:51,34456,1867
2024-12-18 19:08:51,34463,1865
2024-12-18 19:08:51,34465,1865
2024-12-18 19:08:51,34465,1863
2024-12-18 19:08:51,34465,1862
2024-12-18 19:08:51,34463,1861
2024-12-18 19:08:51,34460,1859
2024-12-18 19:08:51,34457,1859
2024-12-18 19:08:51,34457,1857
2024-12-18 19:08:51,34462,1856
2024-12-18 19:08:51,34467,1854
2024-12-18 19:08:51,34467,1853
2024-12-18 19:08:51,34467,1852
2024-12-18 19:08:51,34465,1851
2024-12-18 19:08:51,34463,1849
2024-12-18 19:08:51,34459,1847
2024-12-18 19:08:51,34458,1847
2024-12-18 19:08:51,34460,1846
2024-12-18 19:08:51,34466,1846
2024-12-18 19:08:51,34492,1864
2024-12-18 19:08:51,34488,1870
2024-12-18 19:08:51,34463,1848
